STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,OBS_VALUE,OBS_STATUS
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2010,2.14,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2010,6.38,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2010,11.61,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2010,32.17,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2010,32.29,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2011,2.37,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2011,7.02,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2011,11.45,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2011,32.62,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2011,33.21,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2012,2.72,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2012,6.99,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2012,10.67,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2012,33.29,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2012,33.47,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2013,2.89,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2013,6.79,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2013,9.68,A
