STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,OBS_VALUE,OBS_STATUS
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT344,Total physicians aged 35-44 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2010,22.81,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT454,Total physicians aged 45-54 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2010,24.98,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT564,Total physicians aged 55-64 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2010,20.48,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT65O,Total physicians aged 65-74 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2010,8.48,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT75O,Total physicians aged 75 years old and over,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2010,2.02,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGTU35,Total physicians under 35 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2010,21.18,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT344,Total physicians aged 35-44 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2011,22.22,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT454,Total physicians aged 45-54 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2011,23.99,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT564,Total physicians aged 55-64 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2011,20.57,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT65O,Total physicians aged 65-74 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2011,9.29,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT75O,Total physicians aged 75 years old and over,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2011,2.57,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGTU35,Total physicians under 35 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2011,21.28,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT344,Total physicians aged 35-44 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2012,21.76,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT454,Total physicians aged 45-54 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2012,23.12,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT564,Total physicians aged 55-64 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2012,20.56,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT65O,Total physicians aged 65-74 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2012,9.62,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT75O,Total physicians aged 75 years old and over,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2012,2.52,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGTU35,Total physicians under 35 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2012,22.26,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,PAGGT344,Total physicians aged 35-44 years old,PHYTOTNB,% of total physicians (head counts),CAN,Canada,2013,21.59,A
