STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,OBS_VALUE,OBS_STATUS
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2010,94702,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2010,94702,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,CHE,Switzerland,2010,40638,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,CHE,Switzerland,2010,40638,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,CHN,China (People's Republic of),2010,3387400,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,CHN,China (People's Republic of),2010,3387400,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2010,674473,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2010,674473,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,ESP,Spain,2010,144951,B
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,ESP,Spain,2010,144951,B
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2010,416710,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,FRA,France,2010,416710,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,GBR,United Kingdom,2010,183831,B
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,GBR,United Kingdom,2010,183831,B
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2010,71818,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2010,71818,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2010,1730215,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2010,1730215,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2010,432876,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2010,432876,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2010,119506,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2010,119506,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2010,68450,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2010,68450,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,NZL,New Zealand,2010,11948,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,NZL,New Zealand,2010,11948,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,SWE,Sweden,2010,25566,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,SWE,Sweden,2010,25566,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,USA,United States,2010,941995,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,USA,United States,2010,941995,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2011,96040,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2011,96040,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,CHE,Switzerland,2011,39937,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,CHE,Switzerland,2011,39937,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,CHN,China (People's Republic of),2011,3705100,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,CHN,China (People's Republic of),2011,3705100,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2011,672573,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2011,672573,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,ESP,Spain,2011,142394,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,ESP,Spain,2011,142394,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2011,414204,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,FRA,France,2011,414204,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,GBR,United Kingdom,2011,181972,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,GBR,United Kingdom,2011,181972,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2011,71669,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2011,71669,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2011,1712439,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2011,1712439,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2011,475744,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2011,475744,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2011,119081,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2011,119081,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2011,66348,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2011,66348,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,NZL,New Zealand,2011,12348,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,NZL,New Zealand,2011,12348,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,SWE,Sweden,2011,25517,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,SWE,Sweden,2011,25517,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPITBED,Total hospital beds,NOMBRENB,Number,USA,United States,2011,924333,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOPBTBED,Total hospital beds,NOMBRENB,Number,USA,United States,2011,924333,A
